,Alexandre’s Bar,Amarelim do Prado,Andrade’s Beer,Arcos Bar,Armazém Santa Amélia,Avalanche Espeteria,Azougue Fogo e Bar,Baiuca,Bar Bambú,Bar Bendita Baderna,Bar da Cíntia,Bar da Fia,Bar da Lu,Bar da Silvânia,Bar do Bartolomeu,Bar do Bem,Bar do Kim,Bar do Nelson,Bar do Primo,Bar do Regis,Bar do Romeu,Bar dos Meninos,Bar Du Du,Bar e Restaurante Bom Sabor,Bar e Restaurante do Joãozinho,Bar Estabelecimento,Bar Junto Juntinho,Bar Mania Mineira,Bar Pompéu,Bar Stella,Bar Temático Sta. Teresa,Barrigudinha Buteco,Barzim dos amigos,Bazin Bar,Beco Restaurante,Benjamin Bar,Boteco 86,Botequim Buritis,Botequim de Lourdes,Buteco do Lili,Buteco do Rod,Buteco Tô D’Boa,Buteco’s Bar,Butiquim On Cê Tá?,Café Bahia,Café Palhares,Camisola Bar,Canela Amarela,Cantina Arte Quintal,Cantinho da Baiana,Casa da Madrinha,Cervejaria Pajé,Chapa Mágica,Choperia América Norte Sul,Chopp da Esquina,Companhia do Dino,Conectados Bar,COSMOS,Deck Boi na Brasa,Dona Dora,Dona Ju Gastro Bar,Dona Suica,Ember BBQ,Espetinho do Boi,Espetinhos do Paulão,Espettinho.com,Fogão de Minas,Garagge Vintage,Geraldin da Cida,Golden Grill,Iracema Bar,Ivo Grill,Já To Inno,Juzé Bar,Köbes Emporium Bar,Koqueiros Bar,Lá Ele Bar,Leo da Quadra,Locomotiva’s Bar,Magnífico Quintal,Magrelo’s Bar,Mamute Bar,Marina’s Bar,Mineiros Beer,Mulão,Nosso Spetim,O Fino do Alho,Oratório Bar,Parada 10.95 Bar,Parada do Sabor,Pé de Cana,Pé de Goiaba,Planeta Lúpulo,PoiZé Bar e Petisqueira,Prado Beer,Prosa Boa,Quinteiro Bar e Restaurante,Quioxque Botequim Carioca,Quitandas da Tia Nice Bar,Rancho do Manoel,Recanto Vovó Tela,Regis Bar,Rei do Peixe,Resenha da Naty,Restaurante Jorge Americano,S.O.S PUB,Santa Boemia,Santuário Retrô,Seu Braz,Silvio’s Bar,Sinhá Erozitha Bistrôteco,Sô Bar,Spetim,Tanganica Art Bar,The Butcher,Toca do Ogro,Toninho – Alto Forno,Tropeiro do Lisboa,Us Motoca,Xambar,Xico da Kafua,Xico do Churrasco,Zé Bolacha,Zoo Bar
Espetinhos do Paulão,30.16,11.42,3.26,9.62,51.04,39.06,13.4,11.46,37.76,23.03,44.02,40.83,45.18,40.92,62.75,31.25,40.18,26.96,29.93,34.96,42.2,38.31,11.55,26.11,49.98,12.98,13.19,7.47,38.49,37.85,3.0,41.55,32.56,22.45,4.72,32.79,31.79,54.14,7.76,22.64,30.34,41.28,38.76,43.36,4.34,4.34,12.87,15.66,31.21,28.26,9.47,55.03,42.15,45.32,31.6,37.5,13.19,26.13,43.42,4.34,55.98,39.63,12.98,49.98,0.0,43.86,28.62,33.89,22.06,59.42,2.29,3.96,29.46,42.37,12.68,15.15,26.66,52.19,25.62,48.5,38.8,9.16,1.83,42.65,27.99,42.12,42.12,8.7,39.44,33.89,10.57,33.88,48.5,10.57,10.12,33.89,13.84,51.3,15.15,40.42,53.34,1.83,41.32,28.71,2.51,45.22,14.28,1.83,39.51,14.49,15.15,42.65,18.27,24.42,24.42,25.62,2.51,45.73,40.22,2.51,36.61,42.65,31.73,41.2
Espettinho.com,72.33,23.91,43.48,41.06,76.91,81.24,35.89,36.73,43.37,61.14,86.2,83.01,87.36,37.05,35.55,30.67,21.14,65.07,39.92,25.09,84.38,43.92,49.37,35.1,22.77,35.47,29.55,34.24,81.5,80.02,43.41,47.16,22.94,64.63,43.12,37.69,36.69,0.61,30.52,64.81,51.8,83.45,80.94,85.54,43.48,43.48,53.09,20.37,52.66,66.38,35.28,41.01,84.32,39.93,30.59,80.5,29.55,64.25,65.15,43.48,96.85,81.8,35.47,22.77,43.86,0.0,67.92,67.8,20.45,35.12,53.3,36.31,42.76,81.67,68.09,70.56,65.96,28.27,83.61,75.66,51.7,36.43,32.79,62.77,45.66,81.42,81.42,38.8,43.37,67.8,32.39,25.42,75.66,32.39,26.29,67.8,69.26,23.12,70.56,83.6,96.51,32.79,80.62,52.05,33.78,40.62,69.7,32.79,78.81,46.17,70.56,62.77,83.08,32.69,32.69,83.61,33.78,85.02,35.24,33.78,36.79,62.77,65.63,68.36
Fogão de Minas,3.33,36.33,29.98,32.9,30.16,18.19,39.77,37.3,50.12,33.44,23.15,19.96,24.31,59.94,79.1,54.09,56.56,29.03,43.35,48.42,21.33,50.67,32.22,41.88,66.33,39.31,42.49,32.38,20.04,16.97,28.17,43.21,49.99,9.14,27.96,36.91,44.15,67.6,32.66,9.33,36.61,20.4,17.89,22.49,28.56,28.56,33.56,47.82,37.48,30.33,34.33,59.51,21.27,62.82,45.02,17.67,42.49,28.2,22.14,28.56,42.27,18.76,39.31,66.33,28.62,67.92,0.0,6.88,46.01,75.56,27.69,27.33,34.64,16.48,29.75,31.77,2.08,68.71,29.62,27.93,46.11,33.43,32.93,26.7,35.31,16.24,16.24,35.57,42.35,6.88,37.95,50.23,27.93,37.95,38.1,6.88,31.03,63.02,31.77,14.28,22.31,32.93,15.43,36.02,29.16,57.17,31.36,32.93,13.62,36.49,31.77,26.7,28.14,41.88,41.88,29.62,29.16,19.84,52.17,29.16,42.63,26.7,10.51,25.24
Garagge Vintage,9.3,39.14,35.25,35.71,30.18,18.21,42.59,40.11,50.0,36.9,23.17,19.98,24.33,59.82,78.98,53.97,56.44,32.49,43.23,48.3,21.35,50.55,35.04,41.75,66.21,42.12,42.37,35.19,20.06,17.0,33.44,37.55,49.87,5.71,30.77,36.79,44.03,67.48,35.48,5.69,21.46,20.42,17.91,22.51,31.37,31.37,37.03,47.7,28.1,33.79,37.15,59.39,21.3,62.69,44.9,23.11,42.37,31.66,19.04,31.37,45.74,18.78,42.12,66.21,33.89,67.8,6.88,0.0,43.0,72.26,24.68,24.33,31.33,23.01,28.33,30.8,7.3,65.41,35.82,30.28,42.83,30.43,29.93,24.44,32.03,22.76,22.76,32.56,39.05,0.0,34.95,46.92,30.28,34.95,35.09,0.0,29.5,59.72,30.8,20.81,28.83,29.93,21.96,32.74,26.15,53.86,29.94,29.93,20.15,33.49,30.8,24.44,35.28,38.57,38.57,35.82,26.15,26.36,48.86,26.15,39.32,24.44,8.25,22.98
Geraldin da Cida,48.43,7.18,18.57,23.67,53.5,57.34,33.59,21.45,33.05,39.35,62.3,59.11,63.46,36.21,40.48,26.54,17.91,43.28,25.22,21.09,60.48,33.6,31.8,21.4,27.71,33.18,8.67,13.36,54.81,56.12,21.61,36.84,19.16,40.73,26.39,28.08,27.08,20.14,16.64,40.91,28.39,59.55,57.04,61.64,26.99,26.99,33.17,6.51,29.26,44.58,14.4,50.32,60.42,40.61,18.37,53.81,8.67,42.45,41.74,26.99,73.2,57.9,33.18,27.71,22.06,20.45,46.01,43.0,0.0,35.21,19.52,18.33,25.24,60.08,29.59,32.06,44.38,28.36,42.53,53.13,39.6,20.74,14.16,40.24,28.8,59.84,59.84,20.27,35.85,46.21,20.17,21.37,53.13,20.17,6.93,46.21,30.76,31.12,32.06,57.33,70.25,14.16,59.03,29.51,14.93,41.63,31.2,14.16,57.23,25.22,32.06,40.24,35.18,20.83,20.83,42.53,14.93,63.44,36.63,14.93,33.02,40.24,44.05,45.82
Golden Grill,77.68,47.36,54.33,69.94,82.26,86.59,64.77,65.62,48.72,93.37,91.55,88.36,92.71,31.78,5.25,36.02,28.35,88.96,45.27,30.44,89.73,49.27,89.72,34.26,10.46,64.36,44.43,49.12,86.85,85.37,58.97,52.52,31.89,69.98,72.0,43.04,42.04,34.81,52.4,70.16,57.15,88.8,86.29,90.89,72.37,72.37,93.5,38.41,58.01,90.26,50.17,35.74,89.67,34.66,31.53,85.85,44.43,88.13,70.5,72.37,102.2,87.16,64.36,10.46,59.42,35.12,75.56,72.26,35.21,0.0,57.92,60.91,50.27,89.18,68.0,70.46,73.48,11.62,91.13,83.18,59.22,71.38,53.72,70.29,53.17,88.94,88.94,73.75,50.88,75.31,67.34,32.94,83.18,67.34,50.35,75.31,69.16,13.56,70.46,91.11,104.03,53.72,88.13,59.57,54.49,35.52,69.6,53.72,86.32,69.8,70.46,70.29,90.59,40.2,40.2,91.13,54.49,92.54,30.14,54.49,44.31,70.29,73.15,75.88
Iracema Bar,30.11,10.27,3.65,13.78,50.99,39.01,13.99,12.06,36.6,23.64,43.98,40.79,45.14,39.76,61.59,30.09,39.02,27.57,28.77,33.8,42.15,37.15,13.1,24.96,48.82,13.58,12.04,6.32,39.1,37.8,0.0,40.4,31.41,22.4,7.69,31.64,30.64,52.99,6.6,22.59,30.04,41.23,38.72,43.32,7.26,7.26,14.42,14.51,30.9,28.87,8.32,53.88,42.1,44.16,30.44,38.11,12.04,26.74,39.83,7.26,55.93,39.58,13.58,48.82,2.29,53.3,27.69,24.68,19.52,57.92,0.0,5.08,29.01,41.92,12.23,14.69,26.21,51.74,25.16,48.05,38.34,10.54,3.21,42.2,27.54,41.67,41.67,10.08,38.98,33.44,11.95,33.43,48.05,11.95,11.5,33.44,13.39,50.84,14.69,39.97,52.88,3.21,40.87,28.26,3.9,44.77,13.83,3.21,39.06,14.03,14.69,42.2,17.82,23.97,23.97,25.16,3.9,45.27,39.77,3.9,36.16,42.2,31.28,40.74
Ivo Grill,29.75,11.92,4.17,9.04,50.64,38.66,13.27,11.33,39.59,20.47,43.62,40.43,44.78,42.75,64.58,33.09,42.01,24.4,31.76,42.7,41.8,40.14,10.42,27.95,51.81,12.86,13.56,7.97,35.93,37.45,5.08,35.29,44.27,22.05,4.14,26.35,33.63,36.0,8.25,22.24,29.94,40.88,38.36,42.96,4.22,4.22,14.29,16.16,30.81,25.7,11.31,56.87,41.75,47.15,33.43,34.93,13.56,23.57,39.73,4.22,55.58,39.23,12.86,51.81,3.96,36.31,27.33,24.33,18.33,60.91,5.08,0.0,45.91,43.09,10.54,13.01,27.38,66.31,26.53,54.54,44.55,6.1,6.52,53.25,33.75,42.84,42.84,5.86,45.15,32.15,10.19,32.89,54.54,10.19,14.38,32.15,11.71,61.15,13.01,41.33,54.25,6.52,42.04,34.46,5.61,50.93,11.67,6.52,40.23,9.71,13.01,53.25,17.72,30.14,30.14,26.53,5.61,46.45,45.93,5.61,42.33,53.25,35.78,51.79
Já To Inno,36.76,24.94,30.82,49.47,41.34,45.66,41.16,39.22,14.43,52.44,50.62,47.43,51.78,34.78,53.94,28.92,31.4,48.03,13.56,23.26,48.8,13.9,48.79,12.08,41.17,40.75,21.39,26.08,45.92,44.45,29.01,11.55,24.83,29.05,44.53,0.0,2.47,42.44,26.22,29.24,16.22,47.88,45.36,49.96,45.13,45.13,52.57,26.72,17.09,49.34,29.12,29.71,48.75,37.65,15.23,44.93,21.39,47.21,29.57,45.13,61.28,46.23,40.75,41.17,29.46,42.76,34.64,31.33,25.24,50.27,29.01,45.91,0.0,50.66,32.24,34.71,34.95,36.19,52.6,39.49,17.68,32.13,24.8,22.72,9.46,50.41,50.41,31.67,11.53,36.79,39.29,17.71,39.49,39.29,24.07,36.79,33.41,30.5,34.71,52.59,65.5,24.8,49.61,13.8,25.49,24.62,33.85,24.8,47.8,34.06,34.71,22.72,52.07,9.33,9.33,52.6,25.49,54.01,19.62,25.49,10.08,22.72,34.62,32.19
Juzé Bar,14.5,50.08,43.73,46.65,12.98,5.26,53.52,51.05,49.86,50.55,11.79,1.77,13.48,73.69,92.85,67.84,70.31,46.14,57.1,62.17,13.25,49.33,45.97,55.63,80.08,53.06,56.24,46.13,15.15,10.5,41.92,46.21,63.74,22.89,41.71,50.66,57.9,81.35,46.41,23.08,36.7,4.79,0.0,17.6,42.31,42.31,50.68,61.57,36.76,47.44,48.08,73.26,14.28,76.56,58.77,18.1,56.24,45.31,22.53,42.31,59.38,8.62,53.06,80.08,42.37,81.67,16.48,23.01,60.08,89.18,41.92,43.09,50.66,0.0,42.37,44.83,15.93,79.44,49.85,12.93,39.73,44.46,43.96,25.82,37.64,0.25,0.25,46.59,44.23,17.91,48.98,60.96,12.93,48.98,49.13,17.91,43.53,73.75,44.83,15.01,12.95,43.96,8.64,35.9,40.19,67.89,43.97,43.96,2.84,47.52,44.83,25.82,49.32,52.61,52.61,49.85,40.19,11.77,62.89,40.19,53.36,25.82,20.58,16.54
Köbes Emporium Bar,31.99,20.39,14.03,10.59,54.64,42.66,17.46,16.35,46.68,6.45,44.14,44.44,43.02,49.84,71.67,40.17,49.09,17.02,38.85,48.59,35.59,47.22,6.17,35.03,58.89,19.48,22.11,16.44,30.27,35.51,12.23,41.17,50.16,26.05,9.16,32.24,40.71,67.78,16.72,26.24,35.83,44.88,42.37,41.81,9.76,9.76,2.59,24.63,36.69,18.32,18.39,63.95,34.08,54.23,40.52,29.27,22.11,16.19,45.62,9.76,46.25,43.23,19.48,58.89,12.68,68.09,29.75,28.33,29.59,68.0,12.23,10.54,32.24,42.37,0.0,4.17,28.66,86.15,17.45,55.81,47.43,13.58,17.78,59.41,36.63,44.12,44.12,12.18,48.23,36.53,17.44,42.67,55.81,17.44,22.94,36.53,2.87,80.46,4.17,32.26,45.17,17.78,45.67,37.35,10.77,54.01,3.31,17.78,41.51,8.17,4.17,59.41,8.4,33.21,33.21,17.45,10.77,43.19,49.01,10.77,60.07,59.41,40.16,57.95
Koqueiros Bar,34.01,22.86,16.5,13.05,57.11,45.13,20.15,19.04,49.14,6.17,46.16,46.9,45.03,52.3,74.14,42.64,51.56,16.8,41.31,51.06,37.61,49.69,4.81,37.5,61.36,22.17,24.58,18.91,32.28,37.53,14.69,43.64,52.63,28.52,11.63,34.71,43.18,70.25,19.19,28.71,38.3,47.35,44.83,43.83,12.23,12.23,2.08,27.1,39.16,18.1,20.86,66.42,36.1,56.7,42.99,31.29,24.58,15.97,48.09,12.23,48.26,47.05,22.17,61.36,15.15,70.56,31.77,30.8,32.06,70.46,14.69,13.01,34.71,44.83,4.17,0.0,31.27,88.39,17.15,58.42,65.79,14.41,13.7,61.65,54.99,46.73,46.73,13.61,50.18,36.04,20.5,44.62,58.42,20.5,24.89,36.04,2.26,82.7,0.0,34.5,47.41,13.7,47.91,55.7,12.8,55.96,3.78,13.7,44.12,5.03,0.0,61.65,4.99,35.16,35.16,17.15,12.8,45.43,50.96,12.8,62.31,61.65,39.66,60.19
Lá Ele Bar,4.5,34.38,28.02,30.95,28.21,16.23,37.82,35.34,48.16,34.84,21.19,18.0,22.35,57.99,77.15,52.13,54.61,30.43,41.4,46.46,19.37,48.71,30.27,39.92,64.38,37.35,40.53,30.43,18.09,15.02,26.21,41.26,48.03,7.19,26.0,34.95,42.2,65.65,30.71,7.37,34.65,18.45,15.93,20.53,26.6,26.6,34.97,45.86,35.52,31.74,32.38,57.55,19.32,60.86,43.07,21.13,40.53,29.61,20.18,26.6,43.68,16.8,37.35,64.38,26.66,65.96,2.08,7.3,44.38,73.48,26.21,27.38,34.95,15.93,28.66,31.27,0.0,68.63,39.04,27.15,46.05,33.65,33.15,26.92,35.25,15.46,15.46,35.78,42.27,7.1,38.17,50.15,27.15,38.17,38.32,7.1,32.72,62.94,34.02,13.5,21.53,33.15,14.65,35.97,29.38,57.08,33.16,33.15,12.85,36.71,34.02,26.92,38.51,41.8,41.8,39.04,29.38,19.06,52.08,29.38,42.55,26.92,10.72,25.46
Leo da Quadra,70.83,41.67,48.65,63.1,75.41,79.74,57.92,58.77,41.87,86.52,84.7,81.51,85.86,26.1,13.28,29.17,21.5,82.11,38.42,23.59,82.88,42.42,82.87,28.58,7.76,57.51,38.75,43.44,80.0,78.52,51.74,45.67,25.05,63.13,65.15,36.19,35.2,27.96,46.72,63.31,50.3,81.95,79.44,84.04,65.52,65.52,86.65,31.56,51.16,83.41,44.48,25.77,82.82,24.69,25.85,79.0,38.75,81.28,63.65,65.52,95.35,80.31,57.51,7.76,52.19,28.27,68.71,65.41,28.36,11.62,51.74,66.31,36.19,79.44,86.15,88.39,68.63,0.0,86.01,78.06,54.09,66.26,48.6,65.17,48.05,83.81,83.81,68.63,45.76,70.19,62.22,27.81,78.06,62.22,45.23,70.19,64.04,13.98,65.34,85.99,98.91,48.6,83.01,54.44,49.37,29.75,64.48,48.6,81.2,64.68,65.34,65.17,85.47,35.08,35.08,86.01,49.37,87.42,24.38,49.37,33.76,65.17,68.03,70.75
Locomotiva’s Bar,31.86,33.33,26.97,25.18,62.13,50.15,34.68,35.38,65.81,14.55,44.01,51.92,42.88,75.64,94.8,69.78,72.26,0.0,59.05,64.11,35.46,66.36,19.99,57.57,82.03,36.9,35.05,29.38,30.13,35.38,25.16,58.91,65.68,33.54,25.15,52.6,59.85,83.3,29.66,33.73,52.3,52.37,49.85,41.68,25.75,25.75,15.4,37.57,53.17,1.58,31.33,75.2,33.95,78.51,60.72,29.14,35.05,1.66,54.38,25.75,27.45,50.72,36.9,82.03,25.62,83.61,29.62,35.82,42.53,91.13,25.16,26.53,52.6,49.85,17.45,17.15,39.04,86.01,0.0,57.58,59.5,30.5,30.2,55.37,48.7,45.89,45.89,33.15,55.75,32.49,35.52,63.63,57.58,35.52,35.37,32.49,18.77,76.42,16.8,28.21,41.13,30.2,41.63,49.42,30.89,70.56,20.03,30.2,43.28,21.28,16.8,55.37,13.17,45.64,45.64,0.0,30.89,39.15,65.56,30.89,56.03,55.37,36.11,53.91
Magnífico Quintal,25.94,52.82,49.85,58.1,0.0,17.71,60.2,58.26,40.6,62.0,21.55,14.22,25.93,67.69,86.85,61.83,64.31,57.58,51.1,56.16,25.63,40.07,57.42,49.62,74.08,59.78,49.28,53.74,26.6,23.11,48.05,36.95,57.73,34.34,53.15,39.49,40.89,75.35,54.02,34.52,27.44,10.2,12.93,29.04,53.75,53.75,62.12,54.61,27.5,58.89,51.98,65.4,26.66,67.55,52.77,29.64,49.28,56.76,13.27,53.75,70.83,21.07,59.78,74.08,48.5,75.66,27.93,30.28,53.13,83.18,48.05,54.54,39.49,12.93,55.81,58.42,27.15,78.06,57.58,0.0,32.7,56.73,49.94,18.79,30.61,13.23,13.23,58.87,37.19,30.18,61.25,56.93,0.0,61.25,49.49,30.18,55.8,69.72,57.11,26.83,22.78,49.94,21.09,28.87,50.63,59.89,56.24,49.94,14.68,59.8,57.11,18.79,61.59,48.58,48.58,62.13,50.63,21.56,64.91,50.63,49.33,18.79,28.14,10.77
Magrelo’s Bar,48.26,39.3,40.15,60.94,32.7,45.18,81.35,48.56,12.13,63.92,52.6,41.68,53.76,28.5,62.89,39.02,40.35,59.5,27.16,32.2,50.78,11.6,60.26,25.68,50.12,80.94,37.35,42.04,57.39,46.43,38.34,8.48,33.77,40.55,44.64,17.68,19.09,51.39,40.83,40.74,16.39,36.28,39.73,51.94,43.77,43.77,64.04,41.08,12.99,60.81,38.46,27.17,50.72,29.32,28.83,56.4,37.35,58.68,20.94,43.77,72.75,48.21,80.94,50.12,38.8,51.7,46.11,42.83,39.6,59.22,38.34,44.55,17.68,39.73,47.43,65.79,46.05,54.09,59.5,32.7,0.0,44.06,36.72,11.17,9.67,42.1,42.1,43.6,8.27,31.78,45.46,33.32,31.18,45.46,32.71,31.78,45.33,46.12,46.64,44.14,52.17,36.72,45.29,11.14,37.41,27.02,45.78,36.72,41.41,45.99,46.64,11.17,60.11,26.0,26.0,60.64,37.41,49.7,26.6,37.41,25.69,11.17,29.12,23.88
Mamute Bar,35.85,14.33,7.33,2.89,56.73,44.76,5.35,4.66,45.24,21.45,49.72,46.53,50.88,48.4,75.05,38.73,61.59,30.5,37.41,34.42,47.9,45.79,11.2,33.6,54.52,6.67,15.97,10.38,42.03,43.55,10.54,41.06,32.5,28.15,4.95,32.13,39.28,36.12,10.11,28.34,35.72,46.97,44.46,49.06,5.32,5.32,14.92,17.58,36.58,31.8,12.45,62.52,47.85,52.8,31.71,41.03,15.97,29.67,45.51,5.32,61.68,45.33,6.67,54.52,9.16,36.43,33.43,30.43,20.74,71.38,10.54,6.1,32.13,44.46,13.58,14.41,33.65,66.26,30.5,56.73,44.06,0.0,9.39,51.5,36.84,48.85,48.85,5.09,75.64,38.16,4.7,57.7,60.54,4.7,15.95,38.16,15.39,55.39,18.12,47.34,60.26,9.39,48.05,37.56,8.49,72.89,14.56,9.39,46.24,10.54,18.12,51.5,21.96,29.57,29.57,32.54,8.49,52.46,67.52,8.49,69.07,51.5,41.78,50.04
Marina’s Bar,35.35,7.75,0.0,10.14,49.94,44.26,12.25,10.31,37.91,26.27,49.22,46.03,50.38,41.07,57.39,31.4,34.82,30.2,30.08,27.85,47.4,38.46,12.7,26.26,44.62,11.83,9.39,3.8,41.73,43.05,3.21,33.73,25.92,27.65,5.37,24.8,31.94,32.48,4.08,27.84,28.38,46.47,43.96,48.56,5.73,5.73,20.09,11.99,29.25,31.5,5.87,55.18,47.34,45.47,31.75,40.74,9.39,29.37,38.18,5.73,57.71,44.83,11.83,44.62,1.83,32.79,32.93,29.93,14.16,53.72,3.21,6.52,24.8,43.96,17.78,13.7,33.15,48.6,30.2,49.94,36.72,9.39,0.0,44.01,29.35,43.48,43.48,6.87,40.79,35.25,8.74,28.79,49.85,8.74,10.28,35.25,15.2,46.2,16.5,41.78,54.69,0.0,42.68,30.07,0.77,46.58,15.64,0.0,40.87,11.06,16.5,44.01,19.63,25.78,25.78,26.97,0.77,47.08,41.58,0.77,37.97,44.01,33.09,42.55
Mineiros Beer,29.12,39.93,44.01,56.81,18.79,31.27,54.35,52.42,22.62,59.78,40.82,27.77,41.98,42.31,73.96,47.29,51.42,55.37,46.39,43.28,39.0,22.09,56.13,44.91,61.19,53.94,36.39,47.89,37.72,34.65,42.2,18.97,44.84,26.91,51.86,22.72,24.12,62.46,48.18,27.37,12.32,22.37,25.82,40.16,52.46,52.46,59.91,41.72,11.67,56.67,39.1,44.25,38.95,46.4,48.06,40.76,36.39,54.54,7.03,52.46,68.61,36.43,53.94,61.19,42.65,62.77,26.7,24.44,40.24,70.29,42.2,53.25,22.72,25.82,59.41,61.65,26.92,65.17,55.37,18.79,11.17,51.5,44.01,0.0,15.0,29.37,29.37,46.72,18.73,24.21,48.58,43.28,18.45,48.58,35.84,24.21,48.46,56.07,49.76,40.83,42.68,39.85,36.16,13.26,40.53,41.33,48.9,39.85,28.68,49.11,49.76,0.0,59.02,45.41,45.41,59.55,40.53,40.06,46.35,40.53,35.68,0.0,21.56,11.15
Mulão,37.45,28.49,29.35,50.14,30.61,46.36,39.69,37.76,11.7,53.11,51.32,48.13,52.48,37.68,56.84,31.83,34.3,48.7,21.07,26.16,49.5,11.17,49.46,19.59,44.07,39.28,24.95,29.64,46.59,45.15,27.54,8.82,27.73,29.75,33.84,9.46,10.86,45.34,30.03,29.94,7.75,34.19,37.64,50.66,32.96,32.96,53.24,30.28,4.13,50.0,27.66,37.22,49.45,40.55,22.74,45.59,24.95,47.87,18.85,32.96,61.95,46.93,39.28,44.07,27.99,45.66,35.31,32.03,28.8,53.17,27.54,33.75,9.46,37.64,36.63,54.99,35.25,48.05,48.7,30.61,9.67,36.84,29.35,15.0,0.0,40.74,40.74,37.52,10.98,30.43,39.38,34.07,29.82,39.38,26.63,30.43,39.25,46.87,40.56,54.55,67.46,30.64,51.57,4.14,31.33,29.85,39.69,30.64,40.05,39.91,40.56,13.05,54.03,25.72,25.72,54.56,31.33,55.97,36.01,31.33,26.47,13.05,27.77,22.52
Nosso Spetim,14.25,49.83,43.48,46.4,13.23,5.51,53.28,50.8,51.52,50.3,12.04,2.02,13.73,73.44,92.61,67.59,70.07,45.89,56.85,61.92,13.5,50.99,45.72,55.38,79.83,52.81,55.99,45.88,14.9,10.75,41.67,47.87,63.49,22.64,41.46,50.41,57.66,81.11,46.17,22.83,38.36,5.04,0.25,17.35,42.06,42.06,50.43,61.32,38.42,47.19,47.84,73.01,14.53,76.32,58.52,17.95,55.99,45.06,24.19,42.06,59.14,8.87,52.81,79.83,42.12,81.42,16.24,22.76,59.84,88.94,41.67,42.84,50.41,0.25,44.12,46.73,15.46,83.81,45.89,13.23,42.1,48.85,43.48,29.37,40.74,0.0,0.0,46.35,45.78,17.66,48.73,60.71,13.18,48.73,48.88,17.66,43.28,73.5,44.59,14.77,13.19,43.71,8.88,37.45,39.94,67.65,43.72,43.71,2.59,47.28,44.59,27.38,49.07,52.36,52.36,49.6,39.94,12.02,62.65,39.94,53.11,27.38,20.34,18.09
O Fino do Alho,14.25,49.83,43.48,46.4,13.23,5.51,53.28,50.8,51.52,50.3,12.04,2.02,13.73,73.44,92.61,67.59,70.07,45.89,56.85,61.92,13.5,50.99,45.72,55.38,79.83,52.81,55.99,45.88,14.9,10.75,41.67,47.87,63.49,22.64,41.46,50.41,57.66,81.11,46.17,22.83,38.36,5.04,0.25,17.35,42.06,42.06,50.43,61.32,38.42,47.19,47.84,73.01,14.53,76.32,58.52,17.95,55.99,45.06,24.19,42.06,59.14,8.87,52.81,79.83,42.12,81.42,16.24,22.76,59.84,88.94,41.67,42.84,50.41,0.25,44.12,46.73,15.46,83.81,45.89,13.23,42.1,48.85,43.48,29.37,40.74,0.0,0.0,46.35,45.78,17.66,48.73,60.71,13.18,48.73,48.88,17.66,43.28,73.5,44.59,14.77,13.19,43.71,8.88,37.45,39.94,67.65,43.72,43.71,2.59,47.28,44.59,27.38,49.07,52.36,52.36,49.6,39.94,12.02,62.65,39.94,53.11,27.38,20.34,18.09
Oratório Bar,37.99,13.85,6.87,4.0,58.87,46.89,7.72,7.03,44.78,19.23,51.85,48.66,53.01,47.94,77.43,38.27,40.93,33.15,36.95,33.95,50.03,45.33,10.41,33.14,56.89,9.04,15.49,9.9,44.69,45.68,10.08,40.6,32.02,30.28,5.53,31.67,38.82,38.49,9.64,30.47,35.26,49.11,46.59,51.19,5.07,5.07,14.49,16.68,36.12,34.46,11.97,62.06,49.98,52.34,31.23,43.69,15.49,32.33,45.05,5.07,63.81,47.46,9.04,56.89,8.7,38.8,35.57,32.56,20.27,73.75,10.08,5.86,31.67,46.59,12.18,13.61,35.78,68.63,33.15,58.87,43.6,5.09,6.87,46.72,37.52,46.35,46.35,0.0,44.67,31.67,11.01,39.11,54.05,11.01,15.2,31.67,11.23,73.81,12.53,40.85,53.77,6.77,41.56,35.46,5.86,50.45,11.19,6.77,39.75,9.23,12.53,52.76,17.23,29.65,29.65,26.05,5.86,45.96,45.45,5.86,41.84,52.76,35.29,51.3
Parada 10.95 Bar,44.47,35.54,40.79,49.85,37.19,53.38,73.02,73.86,3.96,56.72,58.34,46.18,59.5,24.11,54.55,29.53,32.01,55.75,18.82,23.87,56.52,3.43,49.17,17.35,41.78,72.6,29.02,33.71,53.64,52.17,38.98,0.0,25.43,36.77,43.77,11.53,16.35,43.05,39.81,36.96,17.78,40.77,44.23,57.68,44.37,44.37,60.29,37.33,11.93,57.05,34.75,22.78,56.46,24.93,20.49,52.64,29.02,54.92,25.43,44.37,69.0,53.95,72.6,41.78,39.44,43.37,42.35,39.05,35.85,50.88,38.98,45.15,11.53,44.23,48.23,50.18,42.27,45.76,55.75,37.19,8.27,75.64,40.79,18.73,10.98,45.78,45.78,44.67,0.0,37.55,48.05,27.18,36.95,48.05,32.83,37.55,42.34,39.98,43.64,58.89,71.81,33.73,55.91,11.27,34.42,19.24,42.78,33.73,47.18,42.99,43.64,18.97,58.37,18.09,18.09,58.91,34.42,60.32,18.81,34.42,19.5,18.97,34.9,29.65
